1,1,1,1,1,1,2,71,1,8,1,1,1,1,31,9856,931,395,391,29,375,2092,43,1350,790,100,1,5,16,2905,344,451,432,2690,332,65,27,9,16,31.1,26,94,300,3,39,150,53,12,129,129,12,14,17,6,5,80,13,20,5,0,300,70,0,1.14E+03,330,2,7,0,17.2,82.8,2,5,20,56,1.77,99,0,0,0,5,3,4,0,3,3,0,7,1,4,1,1,2,1,0,0,2,3,4,7,1,3,4,4,1,4,3,1,3,1,1,0,0,5,0,1,0,1,1,0,0,yes
0,0,1,1,1,1,0,0,1,0,1,1,1,1,30,8205,665,105,113,24,361,1619,16,1164,606,37,1,5,18,1434,214,380,309,2425,369,15,67,14,52,29.2,80,13,0,0,4,28,17,14,20,15,10,7,1,0,0,50,45,0,0,0,390,139,0,4.80E+03,480,0,39,0,17.6,82.4,0,5,0,38,1.52,96.6,1,0,0,2,0,2,32,1,1,0,2,1,0,0,1,1,1,0,0,2,13,0,86,0,22,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,2,0,1,no
1,1,1,1,1,1,1,13,1,7,1,1,1,1,31,8923,626,71,64,17,270,1120,6,905,471,12,1,5,13,1082,174,274,239,1722,252,5,41,12,28,27.6,79,3,21,0,15,60,21,4,36,2,15,15,2,0,1,43,6,9,1,0,177,97,0,5.15E+03,238,1,1,0,17.7,82.3,0,5,0,41,1.41,96.9,0,0,0,1,1,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,4,0,20,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,3,1,no
1,1,1,1,1,1,1,9,1,21,1,1,1,1,33,10573,692,148,158,24,351,1722,20,928,625,45,1,5,15,1429,243,316,298,1969,335,15,61,16,15,29,116,26,17,3,6,70,20,7,145,40,39,35,10,0,2,44,43,7,2,0,287,106,0,6.50E+03,373,5,23,0,15.6,84.4,0,4,2,52,1.48,94.8,0,0,0,2,2,0,0,0,3,2,3,3,1,0,0,2,2,1,0,0,3,0,7,1,25,2,0,0,1,1,4,1,0,1,0,2,1,0,0,0,0,0,1,1,yes
1,1,1,1,1,1,1,17,1,37,1,1,1,1,38,18567,1411,550,550,50,508,3104,70,2124,1083,127,1,5,34,5355,498,740,621,3864,894,99,109,31,83,29.1,352,125,19,1,10,70,13,25,48,168,39,37,2,0,0,93,99,8,1,0,430,411,0,1.01E+04,594,13,159,0,16.5,83.5,0,8,2,47,1.59,93,15,0,0,13,4,4,61,3,4,7,4,5,6,0,3,5,6,6,0,3,26,0,173,1,31,7,4,1,2,1,2,5,2,6,4,3,2,5,3,1,1,4,4,1,yes
0,0,1,1,1,1,0,0,1,0,1,1,1,1,23,13021,956,65,73,5,344,1617,8,1345,678,26,1,5,16,2019,298,439,380,2894,582,14,89,21,56,31.9,196,11,11,0,4,31,4,7,11,12,32,19,2,0,1,65,32,2,0,0,545,248,0,4.07E+03,660,3,83,0,17.2,82.8,0,6,2,37,1.49,94.9,2,0,0,0,1,2,6,1,0,0,0,1,0,0,0,1,0,1,0,0,2,0,155,0,20,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,no
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no
1,1,1,1,1,1,1,73,1,9,1,1,1,1,31,8084,649,211,213,29,231,1605,41,1110,523,52,1,5,21,1811,219,382,368,2304,227,39,15,18,12,31.4,32,32,175,5,5,22,11,4,108,41,6,2,5,0,0,69,2,4,1,0,295,83,0,613,310,3,21,0,17,83,1,6,0,43,2.39,99,0,0,0,1,2,1,1,3,4,1,2,4,4,0,1,5,0,1,0,4,2,0,78,0,0,0,1,0,1,2,0,2,0,1,0,2,3,1,2,0,0,2,0,0,yes
1,1,1,1,1,1,2,72,1,97,1,1,1,1,38,8742,650,403,396,34,312,1668,44,1167,693,95,1,5,17,2271,309,415,378,2259,260,64,46,13,28,25.3,202,88,95,2,22,183,37,7,169,128,119,117,17,20,4,44,74,5,6,0,294,92,0,6.87E+03,362,6,81,0,20.3,79.7,8,5,2,47,1.52,92.5,3,6,6,5,4,5,23,3,4,2,3,5,5,0,2,5,2,3,0,4,7,0,19,1,19,4,2,2,3,1,1,2,0,3,3,3,3,2,0,1,1,1,0,0,yes
1,1,1,1,1,1,2,36,1,33,1,1,1,1,34,4560,379,204,210,36,219,805,31,668,431,55,1,5,10,1173,176,240,222,1232,214,33,57,6,17,26.9,108,33,55,5,17,99,25,4,64,43,48,40,16,7,2,39,37,8,5,0,149,35,0,3.47E+03,207,5,21,0,20.4,79.6,2,5,6,47,1.55,92.9,0,11,11,1,4,2,11,3,1,3,1,0,2,0,3,0,0,0,0,5,1,3,3,1,1,2,2,1,0,0,1,1,0,1,0,0,0,3,1,1,0,1,1,0,no
